"transaction_id","date","category","product_id","units_sold","unit_price","region"
"TX0005",2026-03-25,"Books","P026",5,20.99,"South"
"TX0090",2026-03-25,"Electronics","P002",3,261.08,"West"
"TX0112",2026-03-26,"Books","P025",1,21.34,"North"
"TX0058",2026-03-28,"Electronics","P046",7,254.87,"South"
"TX0123",2026-03-28,"Sports","P033",1,68.21,"East"
"TX0195",2026-03-29,"Electronics","P045",2,215.85,"South"
"TX0190",2026-03-30,"Books","P014",6,16.44,"South"
"TX0007",2026-03-31,"Clothing","P005",5,41.11,"North"
"TX0027",2026-03-31,"Electronics","P054",3,244.39,"East"
"TX0075",2026-03-31,"Electronics","P054",3,231.74,"North"
"TX0203",2026-03-31,"Books","P003",3,20.52,"West"
"TX0262",2026-04-01,"Home & Garden","P012",6,77.4,"West"
"TX0040",2026-04-02,"Books","P035",8,21.47,"South"
"TX0088",2026-04-03,"Sports","P018",7,53.22,"North"
"TX0143",2026-04-03,"Clothing","P032",6,39.94,"North"
"TX0165",2026-04-03,"Books","P046",1,17.38,"South"
"TX0264",2026-04-03,"Electronics","P013",3,274.41,"North"
"TX0093",2026-04-04,"Home & Garden","P049",1,75.53,"West"
"TX0098",2026-04-05,"Sports","P031",4,56.5,"West"
"TX0114",2026-04-05,"Books","P001",4,19.35,"West"
"TX0182",2026-04-05,"Electronics","P031",6,235.31,"East"
"TX0187",2026-04-06,"Books","P026",1,16.1,"East"
"TX0281",2026-04-07,"Home & Garden","P052",3,72.24,"East"
"TX0082",2026-04-08,"Clothing","P045",3,36.19,"South"
"TX0001",2026-04-10,"Clothing","P007",3,41.94,"North"
"TX0101",2026-04-10,"Clothing","P025",7,44.83,"North"
"TX0213",2026-04-10,"Clothing","P002",1,43.98,"West"
"TX0235",2026-04-10,"Books","P001",1,18.48,"East"
"TX0052",2026-04-11,"Electronics","P017",2,245.75,"West"
"TX0080",2026-04-11,"Electronics","P047",6,272.77,"East"
"TX0103",2026-04-11,"Clothing","P031",2,38.09,"North"
"TX0110",2026-04-12,"Electronics","P017",1,252.64,"South"
"TX0272",2026-04-13,"Books","P007",7,20.06,"East"
"TX0137",2026-04-15,"Sports","P023",2,65.02,"South"
"TX0265",2026-04-15,"Books","P014",2,19.98,"North"
"TX0048",2026-04-16,"Electronics","P030",2,243.05,"West"
"TX0196",2026-04-16,"Sports","P053",5,68.47,"South"
"TX0208",2026-04-16,"Sports","P031",5,66.16,"South"
"TX0276",2026-04-16,"Clothing","P059",4,40.79,"West"
"TX0130",2026-04-17,"Clothing","P026",4,45.93,"North"
"TX0256",2026-04-17,"Clothing","P024",1,36.1,"North"
"TX0299",2026-04-18,"Home & Garden","P027",4,76.66,"East"
"TX0291",2026-04-19,"Clothing","P004",1,44.36,"North"
"TX0047",2026-04-22,"Home & Garden","P016",7,80.25,"North"
"TX0161",2026-04-26,"Sports","P010",6,53.06,"West"
"TX0105",2026-04-28,"Sports","P001",7,58.39,"East"
"TX0008",2026-04-29,"Sports","P060",5,58.47,"South"
"TX0277",2026-04-29,"Clothing","P048",2,41.43,"South"
"TX0292",2026-04-29,"Electronics","P009",1,257.76,"East"
"TX0071",2026-05-01,"Clothing","P030",4,37.69,"North"
"TX0178",2026-05-01,"Sports","P011",2,56.05,"North"
"TX0057",2026-05-02,"Sports","P016",1,59.06,"South"
"TX0134",2026-05-02,"Books","P060",6,17.1,"East"
"TX0186",2026-05-03,"Electronics","P055",2,238.23,"East"
"TX0267",2026-05-03,"Sports","P007",2,51.29,"North"
"TX0089",2026-05-04,"Clothing","P016",3,38.57,"South"
"TX0145",2026-05-05,"Sports","P031",6,54.11,"South"
"TX0097",2026-05-06,"Clothing","P029",1,40.34,"South"
"TX0185",2026-05-06,"Sports","P043",4,61.94,"East"
"TX0025",2026-05-07,"Clothing","P023",2,45.03,"West"
"TX0065",2026-05-07,"Sports","P025",1,68.23,"West"
"TX0157",2026-05-07,"Clothing","P042",1,45.9,"West"
"TX0170",2026-05-07,"Home & Garden","P012",7,71.56,"West"
"TX0177",2026-05-07,"Home & Garden","P033",1,81.7,"South"
"TX0255",2026-05-07,"Books","P017",6,20.82,"West"
"TX0200",2026-05-09,"Home & Garden","P002",2,85.55,"South"
"TX0243",2026-05-09,"Sports","P010",5,62.36,"East"
"TX0252",2026-05-10,"Books","P011",3,16.43,"North"
"TX0053",2026-05-11,"Books","P060",2,17.85,"South"
"TX0242",2026-05-11,"Electronics","P008",5,259.15,"East"
"TX0248",2026-05-11,"Clothing","P054",2,35.36,"East"
"TX0032",2026-05-12,"Clothing","P009",2,39.38,"South"
"TX0124",2026-05-12,"Electronics","P040",7,215.24,"West"
"TX0176",2026-05-12,"Clothing","P041",1,38.78,"South"
"TX0131",2026-05-13,"Clothing","P006",3,45.18,"East"
"TX0174",2026-05-13,"Clothing","P010",2,36.22,"West"
"TX0214",2026-05-13,"Clothing","P033",1,39.17,"North"
"TX0205",2026-05-14,"Books","P003",6,16.36,"West"
"TX0274",2026-05-14,"Home & Garden","P056",3,74.37,"North"
"TX0287",2026-05-14,"Sports","P041",1,52.64,"West"
"TX0022",2026-05-16,"Sports","P024",8,55.52,"West"
"TX0034",2026-05-16,"Electronics","P007",6,270.7,"South"
"TX0133",2026-05-16,"Sports","P003",7,52.78,"South"
"TX0068",2026-05-18,"Sports","P052",5,57.6,"West"
"TX0086",2026-05-18,"Clothing","P003",6,39.9,"East"
"TX0129",2026-05-18,"Electronics","P019",2,265.14,"East"
"TX0268",2026-05-18,"Clothing","P020",2,42.95,"North"
"TX0017",2026-05-19,"Sports","P014",1,63.91,"East"
"TX0202",2026-05-22,"Books","P024",1,21.01,"North"
"TX0228",2026-05-22,"Electronics","P018",7,239.05,"West"
"TX0298",2026-05-22,"Books","P001",2,21.55,"North"
"TX0278",2026-05-23,"Books","P027",3,18.94,"West"
"TX0074",2026-05-24,"Sports","P048",1,51.7,"South"
"TX0240",2026-05-24,"Books","P013",1,20.22,"South"
"TX0012",2026-05-25,"Sports","P004",1,58.61,"North"
"TX0024",2026-05-26,"Home & Garden","P040",7,79.7,"North"
"TX0081",2026-05-26,"Books","P040",1,20.06,"West"
"TX0095",2026-05-26,"Electronics","P024",5,268.52,"East"
"TX0245",2026-05-26,"Electronics","P038",3,221.62,"North"
"TX0249",2026-05-28,"Electronics","P004",2,235.93,"East"
"TX0222",2026-05-29,"Electronics","P045",5,258.73,"North"
"TX0036",2026-05-30,"Books","P016",5,16.75,"West"
"TX0084",2026-05-31,"Clothing","P027",2,45.57,"South"
"TX0140",2026-05-31,"Clothing","P033",2,44.09,"South"
"TX0151",2026-05-31,"Clothing","P021",2,34.02,"West"
"TX0079",2026-06-01,"Electronics","P026",5,259.84,"East"
"TX0010",2026-06-02,"Clothing","P037",3,38.71,"East"
"TX0221",2026-06-02,"Home & Garden","P019",3,80.18,"South"
"TX0295",2026-06-02,"Sports","P042",3,62.24,"West"
"TX0111",2026-06-03,"Electronics","P001",1,245.16,"North"
"TX0300",2026-06-03,"Sports","P036",4,66.82,"South"
"TX0118",2026-06-04,"Home & Garden","P034",3,84.42,"West"
"TX0216",2026-06-06,"Clothing","P034",5,37.75,"West"
"TX0051",2026-06-07,"Books","P038",1,16.37,"North"
"TX0160",2026-06-10,"Home & Garden","P053",3,68.59,"West"
"TX0227",2026-06-10,"Clothing","P045",5,40.94,"East"
"TX0144",2026-06-11,"Electronics","P026",1,243.69,"West"
"TX0194",2026-06-11,"Clothing","P044",6,36.82,"East"
"TX0220",2026-06-11,"Sports","P033",4,66.97,"South"
"TX0261",2026-06-12,"Electronics","P030",4,227.45,"West"
"TX0104",2026-06-13,"Clothing","P039",4,39.53,"East"
"TX0250",2026-06-13,"Clothing","P032",5,34.42,"West"
"TX0288",2026-06-13,"Clothing","P014",3,36.98,"East"
"TX0009",2026-06-14,"Clothing","P030",4,37.6,"West"
"TX0139",2026-06-14,"Home & Garden","P027",5,76.92,"South"
"TX0192",2026-06-16,"Home & Garden","P041",1,77.72,"North"
"TX0231",2026-06-16,"Clothing","P026",5,43.12,"South"
"TX0014",2026-06-17,"Sports","P057",1,54.7,"South"
"TX0179",2026-06-18,"Clothing","P054",6,40.15,"East"
"TX0180",2026-06-18,"Electronics","P019",1,225.75,"East"
"TX0241",2026-06-18,"Electronics","P035",8,235.71,"West"
"TX0146",2026-06-21,"Clothing","P013",3,43.74,"North"
"TX0167",2026-06-21,"Electronics","P006",2,230.52,"South"
"TX0283",2026-06-21,"Clothing","P012",7,43.3,"North"
"TX0020",2026-06-24,"Sports","P024",1,68.6,"South"
"TX0100",2026-06-24,"Home & Garden","P033",4,85.07,"North"
"TX0142",2026-06-24,"Clothing","P047",2,44.47,"East"
"TX0152",2026-06-24,"Electronics","P038",1,236.67,"East"
"TX0159",2026-06-24,"Electronics","P060",5,270.65,"West"
"TX0239",2026-06-24,"Sports","P008",1,63.1,"West"
"TX0011",2026-06-25,"Clothing","P024",1,34.35,"South"
"TX0030",2026-06-25,"Clothing","P050",2,41.58,"North"
"TX0094",2026-06-25,"Clothing","P030",3,45.96,"South"
"TX0150",2026-06-26,"Home & Garden","P051",6,85.03,"South"
"TX0269",2026-06-26,"Clothing","P058",1,40.01,"South"
"TX0069",2026-06-27,"Clothing","P011",1,42.35,"South"
"TX0198",2026-06-27,"Clothing","P023",2,39.83,"South"
"TX0059",2026-06-28,"Electronics","P020",4,251.94,"West"
"TX0107",2026-06-28,"Electronics","P030",2,224.22,"West"
"TX0164",2026-06-28,"Clothing","P022",3,35.2,"West"
"TX0199",2026-06-29,"Electronics","P027",1,219.8,"South"
"TX0013",2026-06-30,"Home & Garden","P053",5,74.36,"North"
"TX0138",2026-06-30,"Clothing","P045",2,43.97,"South"
"TX0258",2026-06-30,"Home & Garden","P035",4,81.03,"North"
